name,total+AF8-citation,gen+AF8-citation,com+AF8-citation,copious+AF8-citation,self+AF8-citation,NGC,NCC,OC,institute,domain,hindex,i10,hindex validation,Check if hindex lesser than total citations,,,,
A3086,599,121,345,41,37,1,0.424,0.9082,#NAME?, Berkeley  +ACI-,Computer Architecture,15,16,225,TRUE,,,
A3087,504,276,5,196,17,0.4524,1,1,University of Notre Dame,Natural Language Processing,16,16,256,TRUE,,,,
A3088,953,673,20,47,77,0.2938,1,0.8573,Pontificia Universidad Catlica de Chile,Molecular Information Systems,19,19,361,TRUE,,,,
A3089,35,19,11,1,3,0.4571,0.6857,1,University of Massachusetts Amhers ,Data Science,4,1,16,TRUE,,,,
A309,996,743,35,148,25,0.254,1,1,The George Washington University,Data Management and Visualization,28,28,784,TRUE,,,,
A3090,204,152,12,5,24,0.2549,1,1,Indiana University,Machine Learning,8,3,64,TRUE,,,,
A3091,707,280,5,205,53,1,1,0.768,University of Notre Dame,Wireless and Sensor Systems,17,18,289,TRUE,,,,
A3092,246,233,12,0,0,0.0528,1,1,#NAME?, Berkeley  +ACI-,Security and Privacy,7,2,49,TRUE,,,
A3093,598,254,188,137,9,1,0.6856,1,University Aix+AC0-Marseille,Wireless and Sensor Systems,23,23,529,TRUE,,,,
A3094,295,100,52,70,7,1,1,0.7763,#NAME?, Berkeley+ACI-,Human Computer Interaction,9,1,81,TRUE,,,
A3095,893,169,649,16,27,1,0.2732,1,#NAME?, Berkeley  +ACI-,Human Computer Interaction,27,27,729,TRUE,,,
A3096,194,56,102,35,0,1,0.4742,1,University of Rochester,Wireless and Sensor Systems,12,12,144,TRUE,,,,
A3097,590,61,485,4,34,1,0.178,1,#NAME?, Riverside+ACI-,Data Management and Visualization,16,18,256,TRUE,,,
A3098,983,511,241,200,4,0.4802,0.7548,1,University of Oxford,Human Computer Interaction,30,30,900,TRUE,,,,
A3099,371,244,73,14,18,0.3423,1,1,University of Massachusetts Amhers ,Human Computer Interaction,18,18,324,TRUE,,,,
A31,587,336,87,78,40,0.4276,1,0.9216,Northwestern University,Security and Privacy,15,19,225,TRUE,,,,
A310,913,526,152,36,95,0.4239,1,0.8861,University of Oxford,Computer Architecture,20,20,400,TRUE,,,,
A3100,554,50,293,158,32,1,0.4711,1,Rijksuniversiteit Groningen,Machine Learning,20,22,400,TRUE,,,,
A3101,108,41,53,8,4,1,0.5093,1,Wesleyan University,Computational +ACY- Synthetic Biology,5,0,25,TRUE,,,,
A3102,726,64,263,370,5,1,0.6377,1,Stanford University,Wireless and Sensor Systems,25,25,625,TRUE,,,,
A3103,262,194,43,15,0,0.2595,1,1,Indiana University,Wireless and Sensor Systems,10,4,100,TRUE,,,,
A3104,923,98,107,640,20,1,1,1,Flinders University of South Australia,Artificial Intelligence,26,26,676,TRUE,,,,
A3105,761,457,124,112,64,0.3995,1,1,University of Oxford,Computer Architecture,17,24,289,TRUE,,,,
A3106,138,28,105,3,0,1,0.2391,1,University of Pittsburgh  ,Wireless and Sensor Systems,8,6,64,TRUE,,,,
A3107,2,0,0,1,0,1,1,0.5,University of Arizona,#NAME?, Vision, Animation, and Game Science+ACI-,1,0,1,TRUE,
A3108,762,59,127,262,158,1,1,0.7953,University of Georgia ,Machine Learning,18,22,324,TRUE,,,,
A3109,929,487,118,293,1,0.4758,1,1,The University of Chicago,Programming Languages and Software Engineering,26,29,676,TRUE,,,,
A311,256,155,81,12,0,0.3945,0.6836,1,Vrije Universiteit Amsterdam ,Ubiquitous Computing,8,7,64,TRUE,,,,
A3110,147,5,53,57,10,1,0.6395,0.8503,Aarhus University,Human Computer Interaction,10,2,100,TRUE,,,,
A3111,423,20,394,7,1,1,0.0686,1,Northwestern University,Machine Learning,13,15,169,TRUE,,,,
A3112,721,519,145,30,10,0.2802,1,1,Wesleyan University,Molecular Information Systems,19,23,361,TRUE,,,,
A3113,259,129,70,29,12,1,0.7297,1,Aarhus University,Computer Architecture,8,2,64,TRUE,,,,
A3114,882,223,473,143,18,1,0.4637,1,Indiana University,Wireless and Sensor Systems,14,14,196,TRUE,,,,
A3115,891,599,166,90,18,0.3277,1,1,Washington University in St. Louis,Computer Architecture,14,27,196,TRUE,,,,
A3116,465,420,3,37,3,0.0968,1,1,University of Auckland,Molecular Information Systems,13,18,169,TRUE,,,,
A3117,519,515,1,2,0,0.0077,1,1,Massachusetts Institute of Technology,Theory of Computation,12,18,144,TRUE,,,,
A3118,537,210,287,6,10,1,0.4655,1,#NAME?, Riverside+ACI-,Programming Languages and Software Engineering,18,19,324,TRUE,,,
A3119,390,339,37,1,8,0.1308,1,1,University of Auckland,Artificial Intelligence,18,18,324,TRUE,,,,
A312,822,447,226,13,117,0.4562,0.7251,1,University of New Brunswick,Systems and Networking,21,24,441,TRUE,,,,
A3120,686,6,435,219,13,1,0.3659,1,#NAME?, Irvine +ACI-,Wireless and Sensor Systems,23,25,529,TRUE,,,
A3121,735,18,113,6,108,1,1,0.3333,University of Auckland,Data Science,16,22,256,TRUE,,,,
A3122,299,273,21,4,0,0.087,1,1,#NAME?, Riverside+ACI-,Data Science,15,16,225,TRUE,,,
A3123,983,798,157,27,0,0.1882,1,1,Indiana University,Human Computer Interaction,27,30,729,TRUE,,,,
A3124,867,77,268,455,62,1,0.6909,1,Pontificia Universidad Catlica de Chile,Human Computer Interaction,23,28,529,TRUE,,,,
A3125,459,163,245,27,17,1,0.4662,1,Washington University in St. Louis,#NAME?, Vision, Animation, and Game Science+ACI-,20,20,400,TRUE,
A3126,731,123,451,73,35,1,0.383,1,#NAME?, San Diego+ACI-,Theory of Computation,20,24,400,TRUE,,,
A3127,384,18,222,20,107,1,0.4219,1,University of Massachusetts Amhers ,Molecular Information Systems,11,15,121,TRUE,,,,
A3128,204,14,123,10,44,1,0.3971,1,University of Rochester,Computer Architecture,7,0,49,TRUE,,,,
A3129,430,42,144,117,60,1,0.6651,0.8442,#NAME?, Berkeley  +ACI-,Computing for Development,13,16,169,TRUE,,,
A313,304,3,143,135,5,1,0.5296,1,The University of Chicago,Theory of Computation,16,16,256,TRUE,,,,
A3130,239,12,30,119,38,1,1,0.8326,University of Pittsburgh  ,Wireless and Sensor Systems,8,0,64,TRUE,,,,
A3131,866,678,6,117,45,0.2171,1,1,The George Washington University,Theory of Computation,20,26,400,TRUE,,,,
A3132,370,128,44,161,22,1,1,1,Washington University in St. Louis,Ubiquitous Computing,16,17,256,TRUE,,,,
A3133,178,149,17,2,1,0.1629,1,1,#NAME?, Los Angeles+ACI-,Machine Learning,7,6,49,TRUE,,,
A3134,944,771,81,24,38,0.1833,1,1,Massachusetts Institute of Technology ,Computer Architecture,20,27,400,TRUE,,,,
A3135,757,140,485,95,31,1,0.3593,1,University of Notre Dame,Machine Learning,21,22,441,TRUE,,,,
A3136,514,38,426,30,16,1,0.1712,1,The University of Chicago,Theory of Computation,13,18,169,TRUE,,,,
A3137,902,667,213,19,1,0.2605,1,1,University of Washington,Machine Learning,22,28,484,TRUE,,,,
A3138,60,21,13,15,5,1,1,0.9,#NAME?, Los Angeles+ACI-,Programming Languages and Software Engineering,3,0,9,TRUE,,,
A3139,735,655,70,3,0,0.1088,1,1,The George Washington University,Wireless and Sensor Systems,15,23,225,TRUE,,,,
A314,144,109,9,15,7,0.2431,1,1,University of Notre Dame,Data Science,7,0,49,TRUE,,,,
A3140,8,2,2,1,1,1,0.75,0.75,Wesleyan University,Computer Architecture,1,0,1,TRUE,,,,
A3141,669,18,77,548,5,1,1,1,#NAME?, Berkeley+ACI-,Computing for Development,14,16,196,TRUE,,,
A3142,304,88,186,0,19,1,0.3882,1,University of Pittsburgh  ,Computational +ACY- Synthetic Biology,10,2,100,TRUE,,,,
A3143,602,576,10,1,9,0.0432,1,1,The University of Chicago,Theory of Computation,20,22,400,TRUE,,,,
A3144,395,147,213,19,14,1,0.4608,1,Northwestern University,Artificial Intelligence,12,15,144,TRUE,,,,
A3145,294,28,92,91,69,1,0.6871,1,Boston University Graduate School,Computational +ACY- Synthetic Biology,15,16,225,TRUE,,,,
A3146,888,19,758,98,11,1,0.1464,1,Washington University in St. Louis  ,Computing for Development,22,23,484,TRUE,,,,
A3147,385,324,39,10,7,0.1584,1,1,University Aix+AC0-Marseille,Computational +ACY- Synthetic Biology,10,9,100,TRUE,,,,
A3148,965,99,472,255,49,1,0.5109,0.9067,University of Massachusetts Amhers ,Machine Learning,28,28,784,TRUE,,,,
A3149,613,384,212,8,8,0.3736,0.6542,1,University of Iowa,Security and Privacy,23,23,529,TRUE,,,,
A315,386,173,66,102,21,1,1,1,The University of Chicago,Computing for Development,12,18,144,TRUE,,,,
A3150,843,724,22,16,65,0.1412,1,1,The George Washington University,Computing for Development,26,28,676,TRUE,,,,
A3151,548,16,157,335,16,1,0.7135,1,University of Toronto,Computer Architecture,15,21,225,TRUE,,,,
A3152,831,568,88,147,11,0.3165,1,1,Vrije Universiteit Amsterdam ,Computing for Development,18,23,324,TRUE,,,,
A3153,742,622,112,5,1,0.1617,1,1, The University of Chicago,Systems and Networking,14,21,196,TRUE,,,,
A3154,534,103,323,51,32,1,0.3951,1,Flinders University of South Australia,Natural Language Processing,18,20,324,TRUE,,,,
A3155,182,78,38,3,22,1,1,0.7747,University of Iowa,Computer Architecture,9,1,81,TRUE,,,,
A3156,667,270,241,106,35,1,0.6387,1,Stanford University,Systems and Networking,23,23,529,TRUE,,,,
A3157,48,31,13,2,1,0.3542,0.7292,1,University of Georgia ,Security and Privacy,4,0,16,TRUE,,,,
A3158,731,315,158,187,50,1,1,1,#NAME?, Berkeley+ACI-,Molecular Information Systems,23,26,529,TRUE,,,
A3159,472,100,219,67,12,1,0.536,0.8432,Oregon State University,Wireless and Sensor Systems,14,16,196,TRUE,,,,
A316,413,390,12,9,1,0.0557,1,1,Boston University Graduate School,Data Management and Visualization,11,17,121,TRUE,,,,
A3160,614,205,115,252,38,1,1,1, The University of Chicago,Systems and Networking,17,17,289,TRUE,,,,
A3161,138,96,32,5,3,0.3043,1,1, The University of Chicago,Security and Privacy,6,2,36,TRUE,,,,
A3162,61,30,9,5,14,1,1,1,Northwestern University,Computational +ACY- Synthetic Biology,4,3,16,TRUE,,,,
A3163,591,76,267,73,157,1,0.5482,1,Cornell University,Security and Privacy,21,21,441,TRUE,,,,
A3164,109,35,67,3,0,1,0.3853,1,The University of Chicago,Artificial Intelligence,6,5,36,TRUE,,,,
A3165,922,264,90,300,142,1,1,0.8633,#NAME?, Berkeley+ACI-,Human Computer Interaction,15,19,225,TRUE,,,
A3166,13,4,6,1,0,1,0.5385,0.8462,Washington University in St. Louis,Wireless and Sensor Systems,2,0,4,TRUE,,,,
A3167,198,40,131,21,4,1,0.3384,1,Tel Aviv University,#NAME?, Vision, Animation, and Game Science+ACI-,10,7,100,TRUE,
A3168,653,345,298,8,0,0.4717,0.5436,1,Aarhus University,Theory of Computation,15,23,225,TRUE,,,,
A3169,586,467,103,3,0,0.2031,1,1,#NAME?, Los Angeles+ACI-,Data Science,16,17,256,TRUE,,,
A317,274,213,29,5,9,0.2226,1,1,The University of Chicago,Natural Language Processing,14,14,196,TRUE,,,,
A3170,642,562,76,1,0,0.1246,1,1,Rijksuniversiteit Groningen,Computational +ACY- Synthetic Biology,14,22,196,TRUE,,,,
A3171,295,9,224,42,0,1,0.2407,0.9322,University of Rochester,Systems and Networking,16,16,256,TRUE,,,,
A3172,7,5,0,1,0,0.2857,1,0.8571, The University of Chicago,Data Science,1,0,1,TRUE,,,,
A3173,78,45,7,7,4,0.4231,1,0.8077,Washington University in St. Louis,Machine Learning,4,3,16,TRUE,,,,
A3174,428,219,62,49,75,0.4883,1,1,University of Massachusetts Amhers ,Wireless and Sensor Systems,15,17,225,TRUE,,,,
A3175,687,663,21,1,0,0.0349,1,1,#NAME?, Berkeley+ACI-,Theory of Computation,16,20,256,TRUE,,,
A3176,901,124,105,268,401,1,1,1,Massachusetts Institute of Technology,Data Science,21,22,441,TRUE,,,,
A3177,363,6,255,49,26,1,0.2975,0.9256,#NAME?, Los Angeles+ACI-,Wireless and Sensor Systems,10,5,100,TRUE,,,
A3178,542,52,81,161,21,1,1,0.5812,University of Massachusetts Amhers ,Data Management and Visualization,22,22,484,TRUE,,,,
A3179,132,109,14,3,1,0.1742,1,1,University of Pittsburgh  ,Programming Languages and Software Engineering,10,6,100,TRUE,,,,
A318,286,112,107,19,34,1,0.6259,1,Aarhus University,Natural Language Processing,9,6,81,TRUE,,,,
A3180,391,195,187,7,0,0.5013,0.5217,1,University of Rochester,Data Management and Visualization,17,18,289,TRUE,,,,
A3181,380,104,51,69,46,1,1,0.7105,#NAME?, Los Angeles+ACI-,Computing for Development,12,14,144,TRUE,,,
A3182,953,891,61,0,0,0.0651,1,1,Tel Aviv University,Machine Learning,17,21,289,TRUE,,,,
A3183,122,117,0,3,0,0.041,1,1,University of Georgia ,Natural Language Processing,5,0,25,TRUE,,,,
A3184,881,73,608,77,118,1,0.3099,1,#NAME?, Los Angeles+ACI-,Wireless and Sensor Systems,21,28,441,TRUE,,,
A3185,303,109,84,88,14,1,0.7228,1,Wesleyan University,Machine Learning,9,0,81,TRUE,,,,
A3186,569,85,2,391,50,1,1,1,Indiana University,Human Computer Interaction,16,16,256,TRUE,,,,
A3187,154,46,19,51,15,1,1,0.8506,#NAME?, Berkeley  +ACI-,Computing for Development,9,2,81,TRUE,,,
A3188,684,646,37,0,0,0.0556,1,1,Oregon State University,Molecular Information Systems,14,17,196,TRUE,,,,
A3189,572,488,10,14,45,0.1469,1,1,#NAME?, Berkeley+ACI-,Molecular Information Systems,20,22,400,TRUE,,,
A319,572,495,0,6,41,0.1346,1,1,University of Oxford,Ubiquitous Computing,11,20,121,TRUE,,,,
A3190,135,64,50,1,17,1,0.6296,1,Washington University in St. Louis  ,Machine Learning,8,3,64,TRUE,,,,
A3191,843,585,73,176,0,0.306,1,1,#NAME?, San Diego+ACI-,Data Science,26,27,676,TRUE,,,
A3192,501,89,92,226,47,1,1,0.9062,University of Oxford,Systems and Networking,18,21,324,TRUE,,,,
A3193,825,775,20,14,4,0.0606,1,1,Rijksuniversiteit Groningen,Natural Language Processing,17,20,289,TRUE,,,,
A3194,975,21,698,107,67,1,0.2841,0.9159,The University of Chicago,Human Computer Interaction,30,30,900,TRUE,,,,
A3195,663,54,410,154,4,1,0.3816,1,Cornell University,Molecular Information Systems,14,18,196,TRUE,,,,
A3196,342,107,187,31,5,1,0.4532,1,Rijksuniversiteit Groningen,Computer Architecture,14,15,196,TRUE,,,,
A3197,734,284,67,294,71,1,1,1,Massachusetts Institute of Technology ,Molecular Information Systems,26,26,676,TRUE,,,,
A3198,471,41,249,65,83,1,0.4713,0.9299,University of Toronto,Programming Languages and Software Engineering,20,20,400,TRUE,,,,
A3199,640,448,60,76,49,0.3,1,1,#NAME?, Berkeley  +ACI-,#NAME?, Vision, Animation, and Game Science+ACI-,23,23,529,TRUE
A32,486,275,38,66,13,0.4342,1,0.8066,Stanford University,Human Computer Interaction,17,18,289,TRUE,,,,
A320,90,85,4,0,0,0.0556,1,1,University of Oxford,Ubiquitous Computing,8,6,64,TRUE,,,,
A3200,800,418,91,102,46,0.4775,1,0.8212,Massachusetts Institute of Technology,Security and Privacy,25,27,625,TRUE,,,,
A3201,116,43,50,16,2,1,0.569,1,Rijksuniversiteit Groningen,Machine Learning,9,8,81,TRUE,,,,
A3202,616,83,40,396,22,1,1,0.8782,#NAME?, San Diego+ACI-,Programming Languages and Software Engineering,12,14,144,TRUE,,,
A3203,740,316,84,6,29,1,1,0.5878, The University of Chicago,Theory of Computation,15,18,225,TRUE,,,,
A3204,424,269,36,82,14,0.3656,1,1,The University of Chicago,Data Science,11,12,121,TRUE,,,,
A3205,505,445,37,4,5,0.1188,1,1,Indiana University,Theory of Computation,21,21,441,TRUE,,,,
A3206,966,339,33,262,254,1,1,0.9193,#NAME?, Berkeley+ACI-,Ubiquitous Computing,30,30,900,TRUE,,,
A3207,461,91,23,60,117,1,1,0.6312,The George Washington University,Theory of Computation,13,13,169,TRUE,,,,
A3208,923,876,37,9,0,0.0509,1,1,Aarhus University,Theory of Computation,29,29,841,TRUE,,,,
A3209,818,529,12,29,94,0.3533,1,0.8117,Washington University in St. Louis  ,Theory of Computation,17,19,289,TRUE,,,,
A321,113,102,7,3,0,0.0973,1,1,Aarhus University,Ubiquitous Computing,8,3,64,TRUE,,,,
A3210,136,31,67,3,11,1,0.5074,0.8235,University of Pittsburgh  ,Artificial Intelligence,7,0,49,TRUE,,,,
A3211,448,102,345,0,0,1,0.2299,1,University of Oxford,Wireless and Sensor Systems,12,13,144,TRUE,,,,
A3212,905,324,228,59,59,1,1,0.7403,University of Georgia ,Programming Languages and Software Engineering,26,27,676,TRUE,,,,
A3213,934,318,391,10,56,1,0.5814,0.8298,#NAME?, Irvine +ACI-,Wireless and Sensor Systems,20,28,400,TRUE,,,
A3214,236,117,20,7,59,1,1,0.8602,Massachusetts Institute of Technology ,Computational +ACY- Synthetic Biology,8,3,64,TRUE,,,,
A3215,120,56,13,6,18,1,1,0.775,University of Auckland,Human Computer Interaction,9,2,81,TRUE,,,,
A3216,531,448,71,6,2,0.1563,1,1,#NAME?, San Diego+ACI-,Ubiquitous Computing,12,12,144,TRUE,,,
A3217,945,308,217,231,3,1,1,0.8032,University Aix+AC0-Marseille,Data Science,28,29,784,TRUE,,,,
A3218,148,0,134,12,1,1,0.0946,1,#NAME?, Berkeley+ACI-,Computing for Development,7,5,49,TRUE,,,
A3219,65,38,7,5,11,0.4154,1,1,Indiana University,Data Management and Visualization,4,3,16,TRUE,,,,
A322,965,303,52,384,1,1,1,0.7668,University of Oxford,Artificial Intelligence,21,26,441,TRUE,,,,
A3220,245,244,0,0,0,0.0041,1,1,University of Auckland,Computing for Development,11,11,121,TRUE,,,,
A3221,526,496,10,13,3,0.057,1,1,The University of Chicago,Machine Learning,21,21,441,TRUE,,,,
A3222,509,42,65,64,123,1,1,0.5776,Wesleyan University,Computing for Development,13,14,169,TRUE,,,,
A3223,558,55,23,286,13,1,1,0.6756,The University of Chicago,Machine Learning,11,16,121,TRUE,,,,
A3224,558,109,168,166,46,1,0.6989,0.8763,#NAME?, Berkeley+ACI-,Human Computer Interaction,20,21,400,TRUE,,,
A3225,486,313,116,56,0,0.356,0.7613,1,Cornell University,Computing for Development,13,17,169,TRUE,,,,
A3226,625,409,7,45,52,0.3456,1,0.8208,Pontificia Universidad Catlica de Chile,Systems and Networking,15,18,225,TRUE,,,,
A3227,629,97,376,89,53,1,0.4022,1,Washington University in St. Louis,Data Management and Visualization,15,18,225,TRUE,,,,
A3228,31,23,7,0,0,0.2581,1,1,#NAME?, San Diego+ACI-,Data Management and Visualization,4,2,16,TRUE,,,
A3229,712,376,180,31,51,0.4719,0.7472,0.8961,University of Arizona,Computer Architecture,18,19,324,TRUE,,,,
A323,450,271,43,94,26,0.3978,1,1,Cornell University,#NAME?, Vision, Animation, and Game Science+ACI-,18,19,324,TRUE,
A3230,660,568,62,29,0,0.1394,1,1,Washington University in St. Louis  ,Molecular Information Systems,20,21,400,TRUE,,,,
A3231,330,98,18,66,144,1,1,1,University of Washington,Artificial Intelligence,11,11,121,TRUE,,,,
A3232,673,246,185,228,5,1,0.7251,1,Washington University in St. Louis,Data Management and Visualization,15,24,225,TRUE,,,,
A3233,72,8,29,3,6,1,0.5972,0.6389,University of Georgia ,Data Science,4,0,16,TRUE,,,,
A3234,963,444,414,9,1,1,0.5701,0.9013,University of Massachusetts Amhers ,Computing for Development,16,29,256,TRUE,,,,
A3235,345,86,39,34,159,1,1,0.9217,University of Iowa,Systems and Networking,17,17,289,TRUE,,,,
A3236,735,193,194,104,82,1,0.7361,0.7796,#NAME?, Los Angeles+ACI-,Data Management and Visualization,18,23,324,TRUE,,,
A3237,293,150,41,38,38,0.4881,1,0.9113, The University of Chicago,Computer Architecture,9,4,81,TRUE,,,,
A3238,26,6,13,6,0,1,0.5,1,Pontificia Universidad Catlica de Chile,Security and Privacy,4,2,16,TRUE,,,,
A3239,271,73,193,1,3,1,0.2878,1,Tel Aviv University,#NAME?, Vision, Animation, and Game Science+ACI-,13,15,169,TRUE,
A324,139,98,40,0,0,0.295,0.7122,1,Oregon State University,Computer Architecture,6,4,36,TRUE,,,,
A3240,799,385,239,8,121,1,0.7009,1,University of Pittsburgh  ,Ubiquitous Computing,18,27,324,TRUE,,,,
A3241,300,113,98,4,45,1,0.6733,0.8667,University of Toronto,Programming Languages and Software Engineering,10,7,100,TRUE,,,,
A3242,373,307,60,1,3,0.1769,1,1,The George Washington University,Security and Privacy,13,15,169,TRUE,,,,
A3243,175,131,41,1,0,0.2514,1,1,Oregon State University,Programming Languages and Software Engineering,10,5,100,TRUE,,,,
A3244,82,65,6,6,4,0.2073,1,1,Massachusetts Institute of Technology,Systems and Networking,5,1,25,TRUE,,,,
A3245,877,286,54,210,325,1,1,1,Pontificia Universidad Catlica de Chile,Ubiquitous Computing,19,21,361,TRUE,,,,
A3246,676,579,37,13,2,0.1435,1,1,The University of Chicago,Data Management and Visualization,21,23,441,TRUE,,,,
A3247,840,258,60,188,184,1,1,0.8214,University of Arizona,Molecular Information Systems,27,27,729,TRUE,,,,
A3248,950,170,320,355,0,1,0.6632,0.8895,Vrije Universiteit Amsterdam ,Natural Language Processing,20,20,400,TRUE,,,,
A3249,304,255,27,6,6,0.1612,1,1,University of Iowa,Ubiquitous Computing,16,16,256,TRUE,,,,
A325,262,178,19,26,24,0.3206,1,1,University of Georgia ,Computer Architecture,12,13,144,TRUE,,,,
A3250,276,229,32,4,4,0.1703,1,1,Oregon State University,Theory of Computation,9,0,81,TRUE,,,,
A3251,821,526,254,20,19,0.3593,0.6906,1,University of Auckland,Machine Learning,26,27,676,TRUE,,,,
A3252,34,10,11,12,0,1,0.6765,1,University of New Brunswick,Natural Language Processing,2,1,4,TRUE,,,,
A3253,649,173,219,205,10,1,0.6626,1,University of Auckland,Natural Language Processing,19,24,361,TRUE,,,,
A3254,51,47,3,0,0,0.0784,1,1,University of Georgia ,Machine Learning,5,2,25,TRUE,,,,
A3255,693,122,325,4,75,1,0.531,0.759,Oregon State University,Computer Architecture,18,23,324,TRUE,,,,
A3256,581,336,233,4,1,0.4217,0.599,1,University of Rochester,Human Computer Interaction,23,23,529,TRUE,,,,
A3257,76,72,3,0,0,0.0526,1,1,Aarhus University,Computer Architecture,4,1,16,TRUE,,,,
A3258,751,296,59,41,249,1,1,0.8589,University of Toronto,Ubiquitous Computing,24,24,576,TRUE,,,,
A3259,74,64,2,5,0,0.1351,1,1,University of Notre Dame,Theory of Computation,6,5,36,TRUE,,,,
A326,805,502,264,1,9,0.3764,0.672,1,University Aix+AC0-Marseille,Data Management and Visualization,16,25,256,TRUE,,,,
A3260,241,186,12,30,3,0.2282,1,1, The University of Chicago,Security and Privacy,8,0,64,TRUE,,,,
A3261,231,43,130,2,27,1,0.4372,0.8745,The George Washington University,Data Science,10,0,100,TRUE,,,,
A3262,345,119,35,3,82,1,1,0.6928,Indiana University,Data Science,15,15,225,TRUE,,,,
A3263,328,10,39,38,101,1,1,0.5732,#NAME?, Los Angeles+ACI-,Artificial Intelligence,11,15,121,TRUE,,,
A3264,614,424,17,5,123,0.3094,1,0.9267,Rijksuniversiteit Groningen,Theory of Computation,15,23,225,TRUE,,,,
A3265,271,24,62,148,11,1,1,0.9041,Wesleyan University,#NAME?, Vision, Animation, and Game Science+ACI-,13,13,169,TRUE,
A3266,724,656,23,22,22,0.0939,1,1,#NAME?, Berkeley+ACI-,Human Computer Interaction,14,16,196,TRUE,,,
A3267,480,300,140,28,9,0.375,0.7083,1,University of New Brunswick,Ubiquitous Computing,19,20,361,TRUE,,,,
A3268,1,0,0,0,0,1,1,0,Washington University in St. Louis  ,Computing for Development,1,0,1,FALSE,,,,
A3269,456,388,46,17,1,0.1491,1,1,Rijksuniversiteit Groningen,Molecular Information Systems,10,0,100,TRUE,,,,
A327,98,31,15,7,2,1,1,0.5612,Boston University Graduate School,Human Computer Interaction,5,0,25,TRUE,,,,
A3270,80,24,52,2,1,1,0.35,1,University of Oxford,Wireless and Sensor Systems,7,4,49,TRUE,,,,
A3271,66,6,59,0,0,1,0.1061,1,#NAME?, Berkeley+ACI-,Natural Language Processing,5,1,25,TRUE,,,
A3272,994,240,496,89,147,1,0.501,1,University of Washington,Data Science,21,27,441,TRUE,,,,
A3273,923,97,93,117,83,1,1,0.4225,Flinders University of South Australia,Security and Privacy,16,23,256,TRUE,,,,
A3274,919,282,358,49,65,1,0.6104,0.8205,Northwestern University,Human Computer Interaction,17,17,289,TRUE,,,,
A3275,566,239,267,14,27,1,0.5283,1,Vrije Universiteit Amsterdam ,#NAME?, Vision, Animation, and Game Science+ACI-,18,21,324,TRUE,
A3276,179,142,35,0,1,0.2067,1,1, The University of Chicago,Computer Architecture,7,5,49,TRUE,,,,
A3277,341,107,192,39,2,1,0.437,1,Northwestern University,#NAME?, Vision, Animation, and Game Science+ACI-,10,0,100,TRUE,
A3278,910,159,398,343,3,1,0.5626,1,University of Iowa,#NAME?, Vision, Animation, and Game Science+ACI-,25,28,625,TRUE,
A3279,627,93,62,153,46,1,1,0.5646,University of Washington,Programming Languages and Software Engineering,23,23,529,TRUE,,,,
A328,991,988,0,1,0,0.003,1,1,#NAME?, Irvine +ACI-,Data Science,29,29,841,TRUE,,,
A3280,873,674,24,142,12,0.2279,1,1,Washington University in St. Louis,Systems and Networking,26,26,676,TRUE,,,,
A3281,383,248,89,6,22,0.3525,1,1,Rijksuniversiteit Groningen,Wireless and Sensor Systems,13,17,169,TRUE,,,,
A3282,862,143,339,263,7,1,0.6067,0.8724,Tel Aviv University,Systems and Networking,22,27,484,TRUE,,,,
A3283,546,25,343,90,55,1,0.3718,1, The University of Chicago,Data Management and Visualization,13,14,169,TRUE,,,,
A3284,146,103,40,1,0,0.2945,0.726,1,Wesleyan University,Artificial Intelligence,11,11,121,TRUE,,,,
A3285,609,288,141,115,38,1,1,1,University of Auckland,Artificial Intelligence,14,16,196,TRUE,,,,
A3286,946,660,132,74,5,0.3023,1,0.9207,University Aix+AC0-Marseille,Machine Learning,25,25,625,TRUE,,,,
A3287,504,213,202,31,2,1,0.5992,0.8889,Pontificia Universidad Catlica de Chile,Ubiquitous Computing,19,21,361,TRUE,,,,
A3288,234,29,117,46,16,1,0.5,0.8889,The George Washington University,Molecular Information Systems,9,5,81,TRUE,,,,
A3289,366,239,45,16,51,0.347,1,1,University of Massachusetts Amhers ,Computing for Development,12,16,144,TRUE,,,,
A329,806,235,383,143,37,1,0.5248,1,Massachusetts Institute of Technology ,#NAME?, Vision, Animation, and Game Science+ACI-,21,27,441,TRUE,
A3290,361,239,35,4,2,0.338,1,0.7756, The University of Chicago,Molecular Information Systems,16,17,256,TRUE,,,,
A3291,387,68,87,92,112,1,1,1,Boston University Graduate School,Computer Architecture,12,14,144,TRUE,,,,
A3292,669,122,38,39,74,1,1,0.4081,University of Iowa,Programming Languages and Software Engineering,22,24,484,TRUE,,,,
A3293,411,333,9,0,57,0.1898,1,1,Washington University in St. Louis  ,Systems and Networking,12,12,144,TRUE,,,,
A3294,357,132,141,16,67,1,0.605,1,#NAME?, Berkeley+ACI-,Ubiquitous Computing,13,14,169,TRUE,,,
A3295,29,5,5,11,1,1,1,0.7586,University of Washington,Security and Privacy,3,0,9,TRUE,,,,
A3296,91,73,13,2,0,0.1978,1,1,Massachusetts Institute of Technology,Data Management and Visualization,8,0,64,TRUE,,,,
A3297,977,367,6,16,255,1,1,0.6592,University of Arizona,Computing for Development,29,30,841,TRUE,,,,
A3298,509,294,193,19,0,0.4224,0.6208,1,Indiana University,Wireless and Sensor Systems,17,21,289,TRUE,,,,
